title,state,id,startDate,endDate,issn,number_of_articles,troveUrl
"Vesnik (Perth, WA : 1975 - 1994)",Western Australia,1382,1975-04-01,1994-12-01,22092986,881,https://nla.gov.au/nla.news-title1382
"Chung Wah News (Perth, WA : 1981 - 1987)",Western Australia,1383,1981-10-01,1984-11-01,22093087,860,https://nla.gov.au/nla.news-title1383
"The Blackwood Times (Greenbushes, WA : 1905 - 1955)",Western Australia,1079,1905-05-03,1955-02-25,22051767,831,https://nla.gov.au/nla.news-title1079
"The Voice of Freedom = Elefthera Phoni (Perth, WA : 1956 - 1957)",Western Australia,1381,1956-07-20,1957-05-09,22092943,511,https://nla.gov.au/nla.news-title1381
"Western Mail (Perth, WA : 1885 - 1954)",Western Australia,101,1885-12-19,1956-12-20,18373763,494,https://nla.gov.au/nla.news-title101
"Sunday Times Edizione Italiana (Perth, WA : 1958 - 1959)",Western Australia,1379,1958-12-21,1959-08-30,22092927,455,https://nla.gov.au/nla.news-title1379
"Hellenic Echo (Perth, WA : 1967 - 1968)",Western Australia,1389,1967-12-15,1968-03-21,22093214,448,https://nla.gov.au/nla.news-title1389
"Mediterranean Voice (Perth, WA : 1971 - 1972)",Western Australia,1390,1971-12-01,1972-07-01,2209296X,431,https://nla.gov.au/nla.news-title1390
"Northern Standard (Darwin, NT : 1921 - 1955)",Northern Territory,25,1921-02-19,1955-02-10,18355323,413,https://nla.gov.au/nla.news-title25
"Il Risveglio = The Awakening (Sydney, NSW : 1944 - 1954)",New South Wales,1601,1944-11-30,1956-03-01,NDP00101,357,https://nla.gov.au/nla.news-title1601
"Northern Star (Lismore, NSW : 1876 - 1954)",New South Wales,81,1876-05-13,1955-09-02,10366768,286,https://nla.gov.au/nla.news-title81
"The Westralian Judean (Perth, WA : 1924 - 1925; 1929 - 1955)",Western Australia,1687,1924-11-01,1955-09-01,NDP00189,278,https://nla.gov.au/nla.news-title1687
Narromine News and Trangie Advocate (NSW : 1898 - 1955),New South Wales,430,1898-01-28,1955-01-18,2201425X,276,https://nla.gov.au/nla.news-title430
"The Sun News-Pictorial (Melbourne, Vic. : 1922 - 1954; 1956)",Victoria,1191,1922-09-11,1956-01-07,22062351,14,https://nla.gov.au/nla.news-title1191
